SpDiam_Dt,MDEC-23,SpMin3_Bhi,ATSC1v,Toxic
1814.8151,60.1757,1.854,70.0473,0
1023.4724,44.5031,1.8174,5.5625,0
1179.4607,37.5488,1.8149,48.8462,0
1193.2688,40.5929,1.8353,132.6003,0
1111.8309,52.7343,1.8476,82.7456,0
1197.1744,52.3812,1.8669,216.6063,0
997.6757,56.0611,1.9305,91.197,0
754.842,40.6558,1.85,105.9675,0
655.6483,31.9506,1.7582,110.0908,0
655.0922,35.6989,1.565,90.6245,0
681.7775,32.2745,1.7724,-39.0401,0
870.7632,40.393,1.8512,-4.852,0
519.6436,35.8397,1.8001,56.7179,0
645.2709,32.6743,1.804,45.2658,0
636.0609,52.0187,1.7735,79.1059,0
945.3158,44.7998,1.8494,232.918,0
1085.886,49.4774,1.8534,135.7166,0
1001.7771,23.4488,1.8774,538.9681,0
899.5386,44.591,1.8539,86.2716,0
1085.4144,65.0939,1.8664,262.8857,0
1272.9917,51.1057,1.849,-34.0929,0
777.7695,36.9243,1.8455,126.0727,0
918.4163,47.536,1.7663,96.523,0
708.7939,39.6797,1.8595,98.5564,0
831.4188,34.789,1.7165,70.238,0
1109.9196,35.8792,1.7557,15.0022,0
998.1833,30.2222,1.5289,87.2254,0
1064.4589,47.975,1.9411,106.7846,0
1034.425,51.4783,1.8475,86.3167,0
1093.1107,39.853,1.724,125.8388,0
692.0931,36.4379,1.8192,19.3023,0
1119.3557,39.6365,1.7193,9.8469,0
1053.0332,54.58,1.8477,63.4773,0
1139.6188,46.3298,1.8462,4.9395,0
966.0988,60.0166,1.8391,171.5347,0
721.6763,36.6323,1.8327,87.5315,0
797.3415,40.1784,1.8378,6.6953,0
1148.9235,52.249,1.8467,37.048,0
672.1845,30.0382,1.7499,92.5579,0
606.731,34.5325,1.811,29.9342,0
1162.8361,51.3093,1.8658,216.6063,0
1265.6056,41.1121,1.855,115.0933,0
911.9073,40.4145,1.8798,92.51,0
739.883,43.2379,1.8722,61.1948,0
847.8986,48.0809,1.8474,90.0746,0
828.4222,43.3655,1.8382,-15.8921,0
791.3237,38.5752,1.7958,-27.4977,0
659.0203,31.647,1.7807,-5.2043,0
1078.8021,65.256,1.7763,236.8502,0
1172.155,57.6723,1.8401,168.8833,0
820.938,42.4795,1.8631,98.4096,0
741.0251,30.0905,1.8664,72.6113,0
852.484,39.5589,1.7036,45.4674,0
746.7476,44.5792,1.8122,129.1137,0
694.2437,30.4957,1.827,14.7025,0
666.2378,43.1223,1.8462,168.9912,0
832.1763,36.9645,1.8381,10.4452,0
915.329,41.3221,1.8376,11.5152,0
769.0635,42.0664,1.8327,78.5986,0
648.7666,30.9405,1.8181,64.6231,0
959.4766,45.2616,1.8553,60.7795,0
679.0515,42.7042,1.8161,24.9395,0
1024.2543,53.6621,1.8515,210.8914,0
815.3836,38.8355,1.8566,-55.4894,0
666.2378,43.1223,1.8267,152.7796,0
758.4895,29.7847,1.8765,23.0501,0
698.9181,43.0391,1.8505,184.4427,0
906.0647,35.7706,1.7626,58.2918,0
741.052,52.6379,1.8326,223.5634,0
615.8727,36.3919,1.8807,-3.9332,0
1020.8198,45.9384,1.7458,148.7534,0
753.5252,46.1793,1.8549,50.8289,0
1080.0357,52.9091,1.8476,59.5251,0
740.997,30.0905,1.8665,72.6113,0
830.2336,46.1239,1.8553,4.9572,0
902.1209,44.0116,1.8176,51.992,0
649.2942,40.3758,1.8851,191.3561,0
760.6561,41.9214,1.8711,118.069,0
690.3594,28.7875,1.6795,47.5735,0
584.6259,28.782,1.8089,100.3691,0
848.1364,42.5724,1.839,-4.968,0
1162.8489,49.1622,1.8468,11.7313,0
725.5156,32.8945,1.767,-3.8828,0
848.8694,39.8284,1.811,-5.5162,0
537.3743,26.0063,1.7815,-33.9975,0
824.7327,40.3072,1.8394,31.9772,1
946.7066,41.2676,1.8119,82.5695,1
860.1257,42.4377,1.6957,241.6145,1
983.3964,34.563,1.813,52.6825,1
1179.4607,40.833,1.8308,176.1256,1
674.8578,35.4194,1.8077,83.8986,1
961.6946,34.9148,1.8572,59.8753,1
749.9079,44.1374,1.8537,25.0458,1
1360.1456,56.1006,1.9912,66.8894,1
878.0574,40.9457,1.8377,110.8305,1
902.1209,44.0116,1.8176,34.6029,1
1228.7848,48.4779,1.8461,-48.0562,1
854.8714,37.5298,1.7954,65.7688,1
987.4551,54.8677,1.9305,91.197,1
1250.3194,47.9243,1.8482,-40.9825,1
816.0712,46.8619,1.8599,265.6437,1
1070.9869,52.8794,1.8376,146.4208,1
854.3767,48.9986,1.837,118.8429,1
854.3809,40.1328,1.6484,85.341,1
1072.9829,46.6635,1.8565,53.688,1
853.1598,39.6079,1.7362,364.2799,1
792.1678,42.695,1.8113,113.624,1
763.0119,39.0073,1.8663,25.2186,1
955.7678,46.4822,1.8331,114.0216,1
733.3179,31.0455,1.8707,17.562,1
1037.6863,48.9891,1.8513,129.8811,1
811.6152,38.6603,1.8306,57.2304,1
660.6695,34.6939,1.8635,173.9131,1
904.377,42.2191,1.8572,80.0184,1
899.5148,44.2499,1.8434,60.6065,1
671.6896,44.0546,1.847,157.5075,1
817.4278,36.4437,1.8476,180.1189,1
877.6515,34.8701,1.8372,258.3347,1
638.2413,42.7042,1.8226,157.499,1
792.4777,45.6774,1.847,134.8783,1
772.8527,41.1182,1.8049,203.6778,1
635.3295,39.1519,1.798,161.1996,1
823.0523,41.2295,1.8068,191.5482,1
841.8702,35.223,1.8077,363.6906,1
1028.4035,51.6137,1.8476,86.3167,1
943.3048,50.1421,1.8474,93.8176,1
818.5252,40.8166,1.8379,-0.9788,1
838.0247,33.3718,1.7524,-7.9686,1
1037.6863,48.9891,1.862,154.825,1
862.1798,38.8164,1.8731,26.3346,1
1037.6863,48.9891,1.8511,134.6278,1
987.2586,38.5495,1.8294,-8.9857,1
629.3862,25.2882,1.8538,109.1447,1
694.9297,37.5447,1.8264,8.4749,1
764.3185,38.87,1.8084,-6.1066,1
1205.9591,46.2385,1.9139,87.4961,1
918.4256,41.6328,1.8084,52.1484,1
742.0947,37.0979,1.8413,120.972,1
1160.1884,50.9941,1.8698,216.6063,1
503.1782,23.6094,1.5779,70.1635,0
204.5766,7.8612,1.2353,-35.1228,0
572.9187,25.1747,1.8099,67.7227,0
581.528,31.9875,1.8361,98.9522,0
237.7391,14.9505,1.2465,86.2275,0
237.7391,14.9505,1.2571,128.88,0
816.4534,22.5401,1.6981,33.7023,0
673.2301,32.9063,1.776,108.9554,0
663.9995,24.5944,1.7841,60.7147,0
749.1166,32.6125,1.8349,127.4535,0
686.6144,30.8363,1.7872,71.6436,0
659.6924,24.1006,1.7309,-18.9982,0
674.8356,25.2822,1.6552,-13.5332,0
548.205,34.2818,1.6627,67.2461,0
593.0892,34.2818,1.6657,4.0005,0
563.3027,33.4578,1.667,-21.2555,0
614.1672,33.863,1.6533,-40.5579,0
599.7664,27.3803,1.6942,-24.7097,0
483.7298,18.6832,1.6169,130.1835,0
603.9534,31.9002,1.7126,85.2123,0
705.8908,24.2566,1.6585,-73.5788,0
669.3297,31.283,1.7795,10.4263,0
743.6726,37.4368,1.7647,118.5533,0
258.2971,11.8619,1.1963,99.065,0
517.2661,31.588,1.8225,103.5059,0
493.7533,32.9174,1.8224,89.17,0
517.2661,31.588,1.8187,107.8978,0
215.1775,13.6305,1.2673,65.4761,0
568.0875,33.1806,1.78,65.5576,0
724.3793,28.357,1.8346,52.5809,0
753.6236,26.4286,1.8272,-19.3465,1
155.0004,9.8829,1.0369,59.5112,1
